0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:37 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:45 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:45 +0530] "GET /webProject/style.css HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:45 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:57 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:57 +0530] "GET /webProject/style.css HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:57 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:58 +0530] "GET /webProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:58 +0530] "GET /webProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:12:20:58 +0530] "GET /webProject/images/gip.gif HTTP/1.1" 304 -
